我不知道为什么那么多人支持房产税，可能这些人会觉得，反正不会收到我头上，因为我没有房。而且也没有钱买房。其实没有房的是最受伤。人不能没有房子住，哪怕你是租房，当然乞丐和野人除外。1.有房的人首先受到冲击，特别是1套住房的人，因为你不大可能卖掉去租房。　　2.没有房的是最受伤，因为房东有多套房子，一定会把房产税转嫁给你，而当你真的忍了十年，有了钱也打算买房子时，又要征收你的房产税。　　3.不单止大城市的人，农村人也受伤，因为房产税会逐步推向全国，你们都跑不了。　　4.你老爸老妈受伤，他们唯一的房子还要征税。　　5.你子孙后代更受伤，房产税一开，以后子孙都受罪。　　　　当然有一类人不受伤，这就是XX，我想你们懂得XX是一群什么人。说实话我也是这个XX里的人，税多我工资也会涨，我不担心这个房产税。就拿个人所得税来说，我交的很少，但是你们逃不掉啊。不过我不愿意看到我父母和兄弟姐妹，以后的孩子要交这个税。我刚买了房，买一套房子交的税已经很多很多了。空军你们不要怨恨买房的人，大家都是被逼的，要怨就应该怨保障房没有建设到位，老百姓工资涨得实在太慢。　　　　本人认为房价必然也还会涨，但这个涨幅应该比老百姓的工资低一些，这是政府应该压制的。楼主发言：1次发图：0张|更多举报|分享|楼主|点赞
　　　　作者：家乡人人　回复日期：2010-12-15　16:53:40　　　　　　　错！海岛论贱是赢家！　　　　=====================================================================错，他注定是输家，这次又拍错马屁了。举报|2322楼|打赏|回复|评论|赞
　　作者：海岛论剑　回复日期：2010-12-08　10:07:54　　　　　　　作者：大侠杨过2010发表日期：2010-12-723:41:00　　　　5.你子孙后代更受伤，房产税一开，以后子孙都受罪。　　　　————————————————————————　　　　儿孙自有儿孙福。　　-----------------------------------------------------　　哈哈，那你要是没有房子，你家老人说你没有房子自是你的福气，你听着开心吧。以后你儿子没有房子，你也继续这么说他。。。祖祖孙孙无穷溃也。举报|2323楼|打赏|回复|评论|赞
　　主啊，让房产税快快降临吧举报|2325楼|打赏|回复|评论|赞
　　党啊，让房产税快快降临吧政府啊，让房产税快快降临吧平抑房价让居者有其屋举报|2326楼|打赏|回复|评论|赞
　　党啊，让房产税快快降临吧政府啊，让房产税快快降临吧平抑房价让居者有其屋举报|2327楼|打赏|回复|评论|赞
　　建立房产登记系统，然后按规定收税，一套房基本免税。不想让收税的都是炒房客，哈哈哈举报|2328楼|打赏|回复|评论|赞
　　mark来自天涯社区客户端|举报|2330楼|打赏|回复|评论|赞
　　作者：gzdd022回复日期：2010-12-16　16:20:21　　　　作者：家乡人人　回复日期：2010-12-15　16:53:40　　　　　　错！海岛论贱是赢家！　　　　=====================================================================错，他注定是输家，这次又拍错马屁了。　　_____________________________　　没错，他就是替我们多军工作的牛啊马啊的，我一鞭子打在他屁股上大喊一声“驾”，哈哈，没错，这马屁拍的没错举报|2332楼|打赏|回复|评论|赞
　　作者：bxy1234567　回复日期：2010-12-08　11:52:10　　　　　　　楼主就是脑残、垃圾、大SB！！　　　　你懂个屁，你看看发达国家的模式，坐井观天！举报|2333楼|打赏|回复|评论|赞
　　在没有解决保障住房的前提下开征房产税，是极其不负责任的、无耻的敛财行为！举报|2334楼|打赏|回复|评论|赞
"　　作者：qqww2000　回复日期：2010-12-13　12:12:37　　　　　　　作者：gzdd022　回复日期：2010-12-13　11:58:40　　　　　　　　　　　qqww2000，你这话矛盾的够可以，什么都不干能拥有几套房子吗？比尔盖茨现在可以什么都不干就吃利息，你去打他啊！　　　　~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~　　这事情和来源毫无关系..明白?问题在于不平衡.你本来从事实体经济,赚很多钱,这是你的本事,你可以把钱继续投入实体经济,你也完全可以买很多房,那是你自己赚的钱,这都是个人经济决策.而我所指的,是国家税负不平衡带来的后果.本来,不管是买很多房持有,还是继续投入实体经济,对整个国家总体而言,两者的税负和收益都不应该相差巨大.实体经济需要人更多的付出,所以理论上,应该承受更少的税负,这样才能吸引人继续投入实体经济的经营,毕竟,有能动性来创造财富的是实体经济,而不是房子.如果国家的税负政策经济政策指向相反的方向,实体经济承受重税,持有房产却是零税,那么人们就会更愿意持有房产而不是继续从事实体经济...最终房产就把实体经济的血吸干了.明白了吗?我觉得这个不难理解的.　　　　=========================　　　　最近本想使劲批一批恶税，面对铺天盖地的房产税新闻，却有些心灰意懒，看到有网友至今还不明白房产税是怎么回事，一声叹息！　　　　1.如果按照该网友的说法，因为房产能够有收益，所以要收税。道理看起来不错，可这个论调一点也不新鲜，叶檀主张征收房产税的原因也是这个。其实我们这个国家，收益最多的还不是房产，而是权力。权力也是一种资本，叫权力资本。房产可以出租，公权力照样可以寻租，一本万利，收益远远在房产之上，养了更多的懒人。并且公权力的滥用也事实上对实体经济进行了打压，我倒问问这个网友，既然你主张对房产收税，是不是也要对滥用公权力的的人员收税？　　　　2.房产出租有收益所以收税，那么对没有收益的房产是否需要征税？假如按照该网友的理论，征收房产税的首要条件就是要区分房产是否收益。有收益（如：出租），收税，OK。无收益（如：自住），不收税，也OK。但是从目前透露的房产税的征收情况来看，根本没有考虑是否有所收益，无论是否收益，房子都要收税。毕竟有收益的房产（如：二套房）仅占总房产数量的很少一部分，本人估计不会超过业主数量的1/3，却要对所有房产（这是最终的目标）收税。又是典型的一人生病，全家吃药。实际上，区分收益的房产和不收益的房产多么困难啊！　　　　3.即便是按照该网友的说法，已经成功区分了收益的房产和不收益的房产，那么能够减少对实体经济的打压吗？这是不可能的事情！是不是像已经征收了房产税的国家已经没有了房屋出租的现象？恰恰相反，美国房屋出租率更高，靠房屋租金过活的寄生虫更多！并且房子在房产税征收后，完全有可能转嫁给了租户，造成租金上涨，征收房产税根本不可能降低房产主人的收益！　　　　4.该网友提到房地产的高利润打压了实体经济，让国人不愿意发展实体经济。可是楼主完全把逻辑关系搞反了！按照郎咸平投资营商环境恶化的理论，你何时听郎咸平说投资营商环境恶化是因为房地产利润太高了？恰恰相反，正是由于投资营商环境（实体经济）的恶化导致了其利润率降低，进而导致了大量资金转入投资房地产。所以说不是房地产打压了实体经济，而是虚弱的实体经济促成了房地产的大肆发展。通过征收房产税给提振实体经济真是奇谈怪论，太天真了！　　　　目前征收房产税已经是事实上的师出无名：降低房价，平衡税负，对资本所得征税，等等原因，种种画皮已经拨开，只剩下赤裸裸地收钱：我缺钱花了，我要收税了。而这却是他们打死也不能说的。　　举报|2335楼|打赏|回复|评论|赞"
　　不管是你是否有房，长期来看，房产税都不会对广大老百姓有利。因为税负会传递到穷人身上的。　　如果问是不是所有针对个人的税都是这样，倒不是。比如说富人遗产税。这个是比较难以传递的税种。　　但是这个税种出台的可能性最小！因为掌握话语权的人不希望有这个税种！举报|2336楼|打赏|回复|评论|赞
　　作者：家乡人人　回复日期：2010-12-18　18:44:32　　　　　　　作者：gzdd022回复日期：2010-12-16　16:20:21　　　　　　作者：家乡人人　回复日期：2010-12-15　16:53:40　　　　　　　　错！海岛论贱是赢家！　　　　　　=====================================================================错，他注定是输家，这次又拍错马屁了。　　　　_____________________________　　　　没错，他就是替我们多军工作的牛啊马啊的，我一鞭子打在他屁股上大喊一声“驾”，哈哈，没错，这马屁拍的没错　　====================================================================　　兄弟，怪我没说清楚，我是说这次海岛拍高层的马屁又拍错了，他的所谓“实施细则”惹麻烦了。举报|2338楼|打赏|回复|评论|赞
　　qqww2000是财政部的人？举报|2339楼|打赏|回复|评论|赞
　　收税就是剥削老百姓，还说十二五减税，放屁。举报|2340楼|打赏|回复|评论|赞
　　作者：yzd20063444　回复日期：2010-12-19　14:12:36　　　　　　　qqww2000是财政部他的人？　　====================================================================　　不可能，他为了说明税收可以承受，就举了个农庄主如何转嫁的例子，而这个例子恰好可以反证了他自己之前说的税收不会转嫁，财政部的人会是这个水平？举报|2341楼|打赏|回复|评论|赞
　　还有，房地产是我国的支柱产业，qqww2000却把它从实业经济体剔除出去，思维混乱得一堆浆糊似的，我都懒得和他辩下去，这种人要真是财政部的人，那确实是国家的悲哀。举报|2342楼|打赏|回复|评论|赞
　　作者：FUXIAOLIAONING　回复日期：2010-12-19　14:16:59　　　收税就是剥削老百姓，还说十二五减税，放屁。　　　　-=====================-　　　　是你没有理解人家的意思，我猜测人家是这么解释的：　　　　假定今年你收入5000元，你缴纳个税1000元，今年税率20%。　　　　假定五年后（十二五期间）你收入还是5000元，你将缴纳个税750元，税率降至15%。　　　　这么看，你的缴纳的税是不是少了？　　　　可是5年间你的收入很难不变，假定五年后你的收入是10000元（货币超发5年，收入涨一倍很正常吧），你将缴纳个税1500元。比你今天缴纳个税多了1500元-1000元=500元。　　　　这么看，你缴纳的税是不是多了？　　　　但官家说：我本来已经是减税的，谁让你收入增加了？你收入不增加的话，十二五期间不就确实减税了？　　　　哥们，人家降的是税率，你却理解成降税额，只能是你没看清楚，还有就是媒体瞎起哄！　　　　人家税额降了，三公消费谁出钱啊？杯水车薪的日子怎么过啊？工作怎么有积极性？O(∩_∩)O哈哈~举报|2343楼|打赏|回复|评论|赞
　　　　　　我担心我的养老问题，本来想着不靠别人靠自己，不享受，多加班，辛苦工作的一生积蓄都买了房子。现在被叶檀这条走狗鼓吹着要收税，要均贫富了。　　　　　　　　我爱我的祖国，可她爱我吗？？？　　　　　　举报|2344楼|打赏|回复|评论|赞
　　加税总是不好的　　尽管它的前提可能是好的，但到具体运用就可能不是这样子了　　举报|2345楼|打赏|回复|评论|赞
　　统治阶级曾经打着节约用水的旗号提高了水价，也打着节约用电的旗号提高了电价，如今又打着降低房价的旗号来忽悠你们上税....他们想干什么，你们难道不知道？根本目的是想抽你们的血，然后全家移民米国享清福！说白就是以前卖地的钱花完了，地也拍的差不多了，公务员花天酒地没银子，于是就盘算着把卖过的地再刮一遍税。奴隶主剥削被奴隶，这一点我倒不是很惊讶，关键是奴隶们还三跪九叩山呼万岁，这倒颇具娱乐色彩。税托要是觉得平白无故给另一个阶级交钱多多益善，请参考个人所得税改革，看看如今是个什么下场，谢谢！~~别说我没提醒：大清朝万万税，到了乾隆加一倍。举报|2348楼|打赏|回复|评论|赞
　　土地价格占房价的50-60%，各种税收占到10-20%，建筑成本占10-15%，说的简单点就是政府70%土地价格加税费，在刨去建筑成本，剩下是开发商的利润，房价涨了就利润多点，但多出的利润还要再交土地增值税给国家，实际上利润的终端在政府，但他们没有大力的建设廉租房，公款吃喝、公款旅游、公款用车的三公消费每年达到9000亿。　　举报|2349楼|打赏|回复|评论|赞
　　哥在房地产公司工作，哥很蛋定，收也好不收也好，我们小鸡巴东西也管不着，已经被所谓的好党好官欺压成这样了。华山论剑，一片死伤！哎。80后是要饭的，一点没错。举报|2350楼|打赏|回复|评论|赞
　　作者：qqww2000　回复日期：2010-12-13　20:43:46　　　所以说要平衡税负啊，给实体经济减税，和对房产持有征税，根本就是一个问题的两个方面。反对加房产税的，其实就是反对给实体经济减税减负。　　你也明白，实体经济税负重，房产持有不收税，结果人们都会来买房子了。后果是什么？大家都不做实体，都炒房子，经济完蛋掉。你税负不平衡，经济就必然不平衡。所以要平衡税负。你房产持有环节零税收，你怎么能够平衡税负　　---------------------------------------------　　你为什么不换一种思路，对实体经济减税呢？举报|2351楼|打赏|回复|评论|赞
　　ai举报|2352楼|打赏|回复|评论|赞
　　郎咸平有一句话还是很中肯的。　　无论什么理由，让老百姓缴税，就是出钱，就得让老百姓知道，出了钱，给我什么好处。承诺缴税就会降房价，那么如果不降怎么办？买个东西还得先验货，后付款吧。而且是现在说好，以后就永远付下去。所以税怎么用，用在何处，有何效果，有何监督。这比较重要。　　　　但话又说回来，如果降了，好嘛，你买的起房子了，你妈那套一文不值了怎么办？你哥，刚背了30贷款，房子也一文不值了怎么办呢。没买房的和有房的不是2个阶级。举报|2356楼|打赏|回复|评论|赞
　　光说房产税有个屁用　　要看房产税到底怎么个征收法　　举报|2357楼|打赏|回复|评论|赞
　　如果是按人均面积超过限额征收，并且超一倍税涨一倍收，那肯定可以控制房价　　　　如果是一刀切收，那就是ZF敛财举报|2358楼|打赏|回复|评论|赞
　　路过留名　　　　www.xf88.com举报|2360楼|打赏|回复|评论|赞
　　固然是输家，但好在能够参加游戏，问题在于游戏规则的制定。举报|2361楼|打赏|回复|评论|赞
　　你想吧酒囊饭袋除了会出点馊主意你还想他们做什么？不行的话过几年废除就是了反正出个政策跟小孩过家家一个样举报|2363楼|打赏|回复|评论|赞
　　收税，收税，我一小P民，我就搞不懂，还有人支持多收税，D的教育好呀！举报|2364楼|打赏|回复|评论|赞
　　“其实房价高，懂行的一看就清楚了，我认识的搞房地产预结算的朋友告诉我，土地价格占房价的50-60%，各种税收占到10-20%，建筑成本占10-15%，说的简单点就是政府70%土地价格加税费，在刨去建筑成本，剩下是开发商的利润，房价涨了就利润多点，但多出的利润还要再交土地增值税给国家，实际上利润的终端在政府，但他们没有大力的建设廉租房，公款吃喝、公款旅游、公款用车的三公消费每年达到9000亿。”　　这哥们明白人！　　举报|2365楼|打赏|回复|评论|赞
　　作者：guga2　回复日期：2010-12-24　15:35:35　　　　　　　作者：qqww2000　回复日期：2010-12-13　20:43:46　　　　　所以说要平衡税负啊，给实体经济减税，和对房产持有征税，根本就是一个问题的两个方面。反对加房产税的，其实就是反对给实体经济减税减负。　　　　你也明白，实体经济税负重，房产持有不收税，结果人们都会来买房子了。后果是什么？大家都不做实体，都炒房子，经济完蛋掉。你税负不平衡，经济就必然不平衡。所以要平衡税负。你房产持有环节零税收，你怎么能够平衡税负　　　　---------------------------------------------　　　　你为什么不换一种思路，对实体经济减税呢？　　　　　　===========================　　　　什么？！！！减税！！！你想让我们千万公务员喝西北风啊！！　　　　其心可诛，推出去TJJ举报|2366楼|打赏|回复|评论|赞
　　我没有接受过系统的社会科学训练，但不妨碍我从正常逻辑常识中得出一些见解　　　　公民社会里，首要是限制政府的权利，政府的权利，尤其尤其是对公民的课税权利是一件严肃的事情，政府随意的增加税负，绝对不是一件正常的事情，在代议制下，税收项目的审批与设立，似乎不是政府可以独自完成的。　　　　一个税种的推出，首先我们要看其法理性如何，是否符合大多数公众的利益，是否能起到课税的真实目的作用，税收的用途是否合理，用途的效率如何，能否公开透明，接受纳税人的监督。　　　　　　　　一连串的问题没有解决之前，奢谈什么房产税是极其不负责任的，甚至是无耻的，更不必谈如何去征收这样的技术问题还没解决。　　　　举报|2369楼|打赏|回复|评论|赞
　　作者：海岛论剑　回复日期：2010-12-08　12:29:47　　　　　　　作者：马甲穿身上　回复日期：2010-12-08　12:15:17　　　　　这个到未必，我自己只有房一套，三口人，有时候还五口人住，可是我还是坚决反对房产税出台。　　　　——————————————————————　　　　你根本就用不着交税，房产税就是给住房超标的有钱人准备的一道菜？你作为底层人士，反倒替富人担心起来了？向富人多征税是税制改革的根本方向，你不是富人却为富人着想，真是“高尚”啊！财富意味着责任，你没法理解这句话吧！　　===================================　　　　你凭什么断定首套房不会受房产税？国家有这么仁慈吗？万一他说“每户收一套的税，后面多的都免税”怎么办？举报|2371楼|打赏|回复|评论|赞
　　那些强调房产税可以降房价的税托们，你们敢说房价高的的真正原因么？举报|2372楼|打赏|回复|评论|赞
作者：ray99　回复日期：2011-01-09　18:14:30　那些强调房产税可以降房价的税托们，你们敢说房价高的的真正原因么？举报|2374楼|打赏|回复|评论|赞
　　征税就是不好的举报|2375楼|打赏|回复|评论|赞
　　重庆房产税这下有眉目了..........谢谢.......谢谢....深圳、北京　　这么多炒房团怎么不愿试点？？？？　　　　　　　　　　　　　　　　　　　　　　　　　　牛刀：房价暴涨，中国房地产市场在2000年后出现大幅上涨，以北京和上海为例，2000年上半年北京市五环内新盘均价为5722元／平方米；至今年3月，北京五环内新开楼盘均价已经达到31680元/平方米。10年内北京新开楼盘涨幅达到453%。而2000年上海市房屋均价3326元/平方米，至今年4月均价已达26000万元，10年内上海楼价的涨幅681%。深圳更高　　　　@@@@@@@@@@@@@　　　　　　房子卖完5年还是空置房　　　　　　　　!!!!!!!!!!!!!!!!!!!!!!!!　　　　　　　　地产5年涨10倍　　举报|2376楼|打赏|回复|评论|赞
　　果然有税托举报|2377楼|打赏|回复|评论|赞
　　谁开征房产税就让谁灭亡！！！！！！！！　　谁开征房产税就让谁灭亡！！！！！！！！　　谁开征房产税就让谁灭亡！！！！！！！！　　谁开征房产税就让谁灭亡！！！！！！！！　　谁开征房产税就让谁灭亡！！！！！！！！　　谁开征房产税就让谁灭亡！！！！！！！！　　谁开征房产税就让谁灭亡！！！！！！！！　　谁开征房产税就让谁灭亡！！！！！！！！　　谁开征房产税就让谁灭亡！！！！！！！！　　谁开征房产税就让谁灭亡！！！！！！！！　　谁开征房产税就让谁灭亡！！！！！！！！　　谁开征房产税就让谁灭亡！！！！！！！！　　谁开征房产税就让谁灭亡！！！！！！！！举报|2378楼|打赏|回复|评论|赞
　　作者：topchip　回复日期：2011-01-11　20:20:11　　　　　　　谁开征房产税就让谁灭亡！！！！！！！！　　　　======================　　　　精神上支持你举报|2381楼|打赏|回复|评论|赞
"　　天朝,一个长得像鸡的国度!来自天涯社区客户端|举报|2382楼|打赏|回复|评论|赞"
　　作者：海岛论剑　回复日期：2010-12-09　12:18:35　　　　　　　作者：BRINY08　回复日期：2010-12-09　12:08:27　　　　　我卖了市中心的一套房，又买了两套偏点的房一是为了自己的生活费，二是保值，只怪我心太软，没找国家退过任何税，可是与他们收税比起来，真是太傻太天真，现在还要发愁着如何还银行的二十年的贷款，房奴也是替国家在打工啊。　　　　如果只能满足基本居住，那就是只知为自己着想的自私自利的人了。我想有这种想法的应该是一群人，一类数钱数天手软的人，不管人家死活的人了。　　　　家里老人要来同住，才买大点的房，请问115方，住五口人，还算大吗？虽然他们也有自己的房，但我还能赶他们回去吗？国家的制度无情，我们人却不能无情了。所以说，说话要凭点良心，才能问心无愧，天地可鉴！　　　　——————————————————————————　　　　当所有人都不拿房子来保值时，那么没有人会吃亏。如果你买大房子是为了给老人住，可以换两套小房子，把老人老家的房子卖掉，如果是非产权房没法卖，那你换购的小房子可以拿一套写老人的名字。　　　　作者：海岛论剑　回复日期：2010-12-09　12:42:47　　　　　　　作者：异乡醉客　回复日期：2010-12-09　09:55:32　　　　　听闻房产税即将出台试点，身边诸多买不起房的朋友皆欣喜不已，认为这根房产调控的大棒打下来房价必降不疑。我不知道朋友们这种心理从何而来，一件商品政府加税了，反而会降价吗？烟加税了吧，降价了吗？白酒加税了吧，听闻茅台又涨了？商家不是傻瓜也不是慈善家，没有成本增加反而要降价的道理。　　　　对于我们老百姓而言，我不明白的是，我在租房70年的时候（有的没有70年当70年租的）已经交过各种契税了，为何住着住着又要另外再交一次税呢？　　　　————————————————————————————————　　　　房产税不构成房子的基础成本，因为新房是不含税的，二手房也是差别税率，所以房产税成本无法轻易转嫁出去，这就是为什么房产税可以降房价的秘密所在。如果房价还不降，那只能说明税率太低。税收本来就是可以对财产征税的，也可以对行为征税的，国外征收房产税你更没法理解了！中国也会早晚开征遗产税的，这是人类文明的必然发展方向，是市场经济的必要补充。　　　　　　=====================================================================　　　　自相矛盾，前言不搭后语，好嘛，先让人家写父母的名字然后遗产税迟早要交，那还搞那么多事干嘛，打什么旗号嘛，直接说要抢钱还来的干脆些。举报|2383楼|打赏|回复|评论|赞
　　腾讯长沙租房、腾讯长沙二手房频道，长沙全面的租售房信息，免费发布房源百姓的购房顾问　　　　http://cs.esf.fangqq.com举报|2385楼|打赏|回复|评论|赞
　　今天为这个征税而欢呼鼓舞的人，到头来就是人家砧板上的鱼肉。　　举报|2386楼|打赏|回复|评论|赞
　　其实税收本是好事，如果能做到取之于民用之于民。。。但是大部分情况，给人的感觉是一去不复返。。。　　北欧很多国家的税收都是重得可以，一半的收入要交给政府，但是人家生病换肾都是免费滴哟。祖国人民喜欢存钱，因为生活在没有任何保障的水生火热之中。举报|2387楼|打赏|回复|评论|赞
　　楼主说的有道理　　记得小时候看了一个童话故事，讲的是两个小猪分一个饼，胖小猪（代表富人有房子的人）得了大半个饼，瘦小猪（代表穷人，买不起房子的人）得了小半个饼，瘦小猪不满意，两小猪吵起来，这是狼来了（代表政府），你们不要吵了，我来帮你们分，说着拿着胖小猪的大半个饼，咬了一大口，然后和瘦小猪的饼对比，哎呀咬的太多不好意思了，再拿起瘦小猪的饼咬了一口，哎呀不好意思呵呵，又咬的太多了，一直到这个饼被狼吃的差不多了，狼才拿着两小块一样大小的饼，给两小猪，说道终于帮你们公平的分好了，你们也不要吵了，你们得谢谢我哦，两小猪看着手上比黄豆还小的饼，对这狼无语。举报|2389楼|打赏|回复|评论|赞
　　果然有税托举报|2391楼|打赏|回复|评论|赞
　　官老爷是赢家举报|2392楼|打赏|回复|评论|赞
　　炒房的人全家死绝.　　　　　　　　　　　　　　　　炒房的人全家死绝.　　　　　　　　　　　　　　　　炒房的人全家死绝.　　　　　　　　　　　　　　　　炒房的人全家死绝.　　　　　　　　　　举报|2393楼|打赏|回复|评论|赞
　　我只想问一下，如果收了房产税，房价仍然上涨，那么政府给退税不？　　　　　　　　我只想问一下，如果收了房产税，房价仍然上涨，那么政府给退税不？　　　　　　　　我只想问一下，如果收了房产税，房价仍然上涨，那么政府给退税不？　　　　　　　　我只想问一下，如果收了房产税，房价仍然上涨，那么政府给退税不？　　　　　　　　　　我只想问一下，如果收了房产税，房价仍然上涨，那么政府给退税不？　　　　　　　　　　　　我只想问一下，如果收了房产税，房价仍然上涨，那么政府给退税不？　　　　　　　　　　　　我只想问一下，如果收了房产税，房价仍然上涨，那么政府给退税不？举报|2394楼|打赏|回复|评论|赞
　　我猜LZ的房子不止一套举报|2396楼|打赏|回复|评论|赞
"　　好久没来这个帖子了，发现弱智的人真的是可怜，可悲，无可救药，我为他们心痛。　　房产税开始征收了，税拖们高兴了吗？？？当然这也是刚开始，效果会慢慢出来，具体效果会到什么程度，我觉得现在可以知道了。　　　　对于支持征房产税的,我不骂你们，以后你们的儿女们会骂死你的，　　自己弱智到祈求政府征税的地步，这种智商，可见你们没有房产或者没有财富也是应该的了。。我不会去调查你的房产证，你别告诉我你在北京上海有几套房子！　　　　祈求征税的税拖或者SB们，你们会为自己所犯的错误付出代价的，你们会为自己的弱智付出代价的，最简单的代价就是你们也要交房产税！！　　这是你们自己哭爹喊娘求着政府征收的！！！！　　　　房产税从试点到普及全国，必将覆盖所有房产！！！！　　　　除非你住廉租房或者经适房。将来的某个时间，只要你有钱买商品房，不管你的面积和套数，只要你有房产，哪个都跑不掉，否则就不叫房产税！！！！！！！！！！！！　　税拖们先不要急着说上海和重庆的试点是对特定的房产收的，我现在就可以告诉你：这个试点对特定的房产征收，慢慢就会向所有的房产征收！！！　　　　我不想分析什么了，就你这种祈求征税的智商，分析了你也不理解，只告诉你结果。　　　　中国人的思维是看到别人过的好不是想努力去超越，而是想把别人拉下和自己一样的水平。。。　　税拖就是这种典型的极品SB！！！　　　　不信的人，先不要激动，更奉劝你不要因为自己的出口成脏而显露你肮脏的素质。　　用事实说话，立此存照！房产税普及的时候，大家再来看。　　举报|2397楼|打赏|回复|评论|赞"
　　在上海重庆两个试点之后，还会有其他城市的试点，慢慢的房产税开始普及，再然后所有的房产普及！！！　　　　房产税征收为什么不全面铺开？　　大家明白温水煮青蛙的道理吧。。　　还有就是没被征税的人，事不关己高高挂起的心态，而当试点多了之后，那些已经做了试点的城市的居民，肯定也不会愿意，这就是我上面说的那种心态了，我交了税，你也得跟着交，大家都交。。。。　　　　房产税终将成为个人所得税之外的最主要税种！！！！　　　　举报|2398楼|打赏|回复|评论|赞
　　在这里，我曾经为浪费了2天时间而感到惋惜，但是，我不介意为钱云会的事情花再多的时间，也请大家多多关注这个案件，杂谈的帖子基本被封杀，其它地方还有，搜索一下不难找到。　　举报|2399楼|打赏|回复|评论|赞
　　也祝为房产税试点欢呼雀跃的还没买上房的朋友们早日拥有自己的房子（不管你是买的还是租的）。　　一个“试点”的借口就可以绕开法律直接让国民掏钱，法治离我们还非常遥远，为啥要摸着石头过河，大家心里都清楚。举报|2400楼|打赏|回复|评论|赞
　　地卖完了　　换种方式弄钱而已　　以后各种各样的会更多呢　　　　举报|2401楼|打赏|回复|评论|赞
　　房产税是多空对立，渔翁得利的结果。　　1、我们买的房价已包括了向国家支付70年的土地使用权，这是房价的大部分，我们的房价之所以增值不是房子在升值，是土地在涨价，房子本身不断在折旧跌价，现在土地和房子都要我们缴税，是神马理由？土地是国家的，要收税，应该问国家收，凭什么向承租人收。　　2、收税的依据是什么？根据国务院的会议精神？我们国家的法制进程，这么多年还是这样？世界各国哪个国家是根据会议精神来收税的啊？　　3、买房的时候不说收税，等你买好了告诉你要缴税。就像你今天去买电视机，过了几年说你要缴税，是消费税。可笑！！！　　4、利用了多空的矛盾终于出台了房产税，。同时为了规避平下中农的愤慨，暂时对有一套或小面积的免收税，可是你能保证明天不收税吗？像今天随随便便推出房产税，你有信心吗？哪一天你富裕了可能会收富裕税，资产超过++要交税。原来我们是提倡平穷的国家。　　5、加税了，公务员又可以加工资了。前阶段，网上说我们人民的赋税世界前列，现在终于可以达到世界第一了，可是我们每个人的保障呢？住房、医疗、教育？是世界第几呢？不会是世界倒数第一吧？我们国家的腐败呢？　　举报|2402楼|打赏|回复|评论|赞
"　　鸟国现在的状况和明清末年又有什么区别,地钱卖完了接着再收被其哄抬起来的房税,TMD,公务员又有不明收入来源挥霍了........举报|2403楼|打赏|回复|评论|赞"
　　房产税好，将是个最稳固的税源　　　　即使你没有收入来源，也要按国家规定每年缴税举报|2404楼|打赏|回复|评论|赞
　　要征干嘛不征房地产商的税干嘛要征我们老百姓的税啊举报|2405楼|打赏|回复|评论|赞
　　楼上的，你以为征房地产商的税，不会转嫁到消费者身上吗？就一句话，有资源的是老大，目前的大老大是政府。地产商有土地建设权也是有资源的，炒房的有房子在手也是有资源的。只有谁是没资源的，自己去想吧。举报|2406楼|打赏|回复|评论|赞
　　百草群，大草根+小草根，汇集了管前、职场、创业、经济等板块的各路高手的QQ名群，与云集的NB人物零距离畅谈经济、职场、管理、创业；加群请注明“来自房产观澜”。进群请先进本群论坛了解本群特邀嘉宾，有拜读过其大作的筒子们可以上传您的案例，参与讨论。只能加满500人，人满恕多加几次。QQ群号：75317234举报|2407楼|打赏|回复|评论|赞
　　3　　　　　　　　　　举报|2408楼|打赏|回复|评论|赞
　　论贱论贱，真有够贱的了。来自天涯社区客户端|举报|2409楼|打赏|回复|评论|赞
　　价格调控无非就是行政手段剥夺穷人手里的稀缺资源，再把它合理合法赋予富人和权贵。　　举报|2410楼|打赏|回复|评论|赞
　　3举报|2411楼|打赏|回复|评论|赞
　　现在真是万税万万税了，另外强调下，税托去死！来自天涯社区客户端|举报|2413楼|打赏|回复|评论|赞
　　　　楼主标题有误。　　　　不可能是所有人都是输家。　　　　收税的人绝对不是输家。举报|2414楼|打赏|回复|评论|赞
　　已经是大势所趋了，税托，你们赢了举报|2415楼|打赏|回复|评论|赞
　　穷人又没房，叫什么叫，有房的都算富人，不过是大小而已！举报|2416楼|打赏|回复|评论|赞
　　作者：estelle2009　回复日期：2011-01-31　15:05:44　　　　　　　要征干嘛不征房地产商的税干嘛要征我们老百姓的税啊　　　　========================================================　　这位SB，不知道税最后都是由老百姓来承担的吗？举报|2417楼|打赏|回复|评论|赞
　　m举报|2418楼|打赏|回复|评论|赞
　　得了，现在就是保障房和房产税并举，让你一个人有多套房，亏死你！举报|2419楼|打赏|回复|评论|赞
　　空军和多军都没有注意到问题的实质。其实，现在房价愈调控愈高，很大部分原因是由于有屯房一族。身边就有很多人，已经有几套房子，还在买，买了之后不住也不出租，就放那里等着升值。有这批人在，盖再多房子也不够。这批人最可恨！！！！出现这种现象的根本原因在于，屯房几乎没有任何成本。如果房产税开征，这批人马上就猴急了，卖不出去也会考虑把房子出租，以便降低持有成本。举报|2420楼|打赏|回复|评论|赞
　　3举报|2422楼|打赏|回复|评论|赞
